"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
664446,"occ",,,71537,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Tortonian","",11.62,7.246,24176
666768,"occ",,,70835,"Mesocetus siphunculus","species",64012,"","Mesocetus siphunculus","species",64012,"Langhian","",15.97,13.82,24251
666835,"occ",,,71804,"Kentriodon sp.","genus",36743,"","Kentriodon","genus",36743,"Langhian","",15.97,13.82,24251
666857,"occ",,,71806,"Parietobalaena palmeri","species",62938,"","Parietobalaena palmeri","species",62938,"Langhian","",15.97,13.82,24251
667515,"occ",,,71924,"Parietobalaena palmeri","species",62938,"","Parietobalaena palmeri","species",62938,"Burdigalian","",20.44,15.97,24251
679925,"occ",,,73365,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Sarmatian","",12.7,11.608,24600
679926,"occ",,,73366,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Sarmatian","",12.7,11.608,24600
683624,"occ",,,73713,"Balaena mysticetus","species",64683,"","Balaena mysticetus","species",64683,"Holocene","",0.0117,0,24706
690646,"occ",,,59062,"Balaenoptera cf. acutorostrata","species",68469,"","Balaenoptera acutorostrata","species",68469,"Pleistocene","",2.588,0.0117,24917
699176,"occ",,,47079,"Archaeoceti indet.","suborder",42933,"","Archaeoceti","suborder",42933,"Bartonian","",41.3,38,25327
699722,"occ",,,75142,"Tursiops truncatus","species",64472,"","Tursiops truncatus","species",102834,"Holocene","",0.0117,0,25368
700408,"occ",,,53889,"Balaenoptera rostratella","species",64848,"nomen dubium","Balaenopteridae","family",42977,"Late Miocene","",11.608,5.333,25229
700411,"occ",,,32040,"Heterocetus affinis","species",64455,"recombined as","Parietobalaena affinis","species",64455,"Burdigalian","",20.44,15.97,29779
700415,"occ",,,75152,"Plesiocetus brialmonti","species",69854,"nomen dubium","Plesiocetus","genus",36817,"Serravallian","",13.82,11.62,29779
700416,"occ",,,75152,"Plesiocetus dubius","species",69857,"nomen dubium","Plesiocetus","genus",36817,"Serravallian","",13.82,11.62,29779
702634,"occ",19742,,75426,"Balaenidae indet.","family",42978,"","Balaenidae","family",42978,"Zanclean","",5.333,3.6,16696
705734,"occ",,,75734,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Late Miocene","",11.608,5.333,25594
706213,"occ",,,19342,"aff. Kampholophos sp.","genus",53141,"","Kampholophos","genus",53141,"Hemphillian","",10.3,4.9,12297
706232,"occ",,,75784,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Blancan","",4.9,1.8,12297
709188,"occ",,,55643,"Phocaenidae indet.","family",42964,"obsolete variant of","Phocoenidae","family",102804,"Zanclean","",5.333,3.6,12148
709199,"occ",,,56358,"Eschrichtiidae indet.","family",42976,"","Eschrichtiidae","family",42976,"Early Pliocene","",5.333,3.6,12148
709262,"occ",,,69528,"Balaenopteridae indet.","family",42977,"","Balaenopteridae","family",42977,"Messinian","",7.246,5.333,12148
709799,"occ",,,53885,"Delphinidae indet.","family",42953,"","Delphinidae","family",42953,"Pliocene","",5.333,2.588,12148
709822,"occ",,,55920,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Middle Miocene","",15.97,11.608,12148
719479,"occ",,,77208,"n. gen. Microberardius n. sp. africanus","species",113816,"","Microberardius africanus","species",113816,"Middle Miocene","Pliocene",15.97,2.588,26136
719480,"occ",,,77208,"Berardiinae indet.","subfamily",113844,"","Berardiinae","subfamily",113814,"Middle Miocene","Pliocene",15.97,2.588,26136
